Bonobo_ID	envi	place	sex	age	storage_time	hour	min	Neo_SG
female1	wild	group1	female	1697	2274	6	0	260.0
male1	wild	group1	male	1733	2497	16	40	72.0
male2	wild	group1	male	442	2253	9	15	480.0
female2	wild	group1	female	1065	2496	14	10	60.0
female1	wild	group1	female	1478	2493	6	50	40.0
male3	wild	group1	male	1297	2264	5	43	700.0
female3	wild	group1	female	906	2441	11	20	184.6
female4	wild	group1	female	4362	2286	10	15	156.9
female5	wild	group1	female	2938	2784	14	25	190.0
male3	wild	group1	male	1107	2454	9	50	170.0
male1	wild	group1	male	1882	2348	7	42	281.5
male4	wild	group1	male	4378	2270	8	20	198.5
female2	wild	group1	female	1261	2300	11	25	416.8
female3	wild	group1	female	1004	2343	12	15	496.0
female6	wild	group1	female	832	2484	12	15	180.0
female7	wild	group1	female	382	2479	15	35	396.0
female8	wild	group1	female	258	2308	13	11	870.0
female4	wild	group1	female	4151	2497	16	25	75.0
female9	wild	group1	female	3068	2289	8	11	222.9
female10	wild	group1	female	1702	2255	9	23	200.0
female9	wild	group1	female	2846	2511	10	55	55.4
male1	wild	group1	male	1969	2261	9	20	210.0
female10	wild	group1	female	1547	2410	5	40	120.0
female11	wild	group1	female	323	2405	13	5	432.0
female11	wild	group1	female	318	2410	11	15	240.0
female12	wild	group1	female	1165	2488	6	15	270.0
female13	wild	group1	female	3062	2490	14	53	106.7
female11	wild	group1	female	268	2460	8	40	408.0
male5	wild	group1	male	233	2504	16	30	73.3
female10	wild	group1	female	1474	2483	6	0	154.3
female10	wild	group1	female	1485	2472	11	30	180.0
female14	wild	group2	female	204	2428	9	17	154.3
female15	wild	group1	female	2781	2406	7	15	135.0
female4	wild	group1	female	4235	2413	14	45	137.1
female15	wild	group1	female	2685	2502	8	10	180.0
male5	wild	group1	male	327	2410	6	45	1590.0
male4	wild	group1	male	4229	2419	13	30	229.1
female9	wild	group1	female	2944	2413	17	20	225.0
male2	wild	group1	male	225	2470	13	45	720.0
male1	wild	group1	male	1760	2470	13	25	62.9
male3	wild	group1	male	951	2610	6	38	180.0
male6	wild	group1	male	455	2240	7	25	600.0
female8	wild	group1	female	433	2133	14	15	204.0
female9	wild	group1	female	3130	2227	13	20	233.3
female1	wild	group1	female	1730	2241	13	8	278.2
female6	wild	group1	female	1076	2240	12	15	345.0
female12	wild	group1	female	1404	2249	14	30	373.3
male2	wild	group1	male	455	2240	12	25	300.0
male4	wild	group1	male	4435	2213	12	40	160.0
male2	wild	group1	male	467	2228	13	25	480.0
female4	wild	group1	female	4401	2247	17	0	190.6
female1	wild	group1	female	1739	2232	10	55	240.0
male6	wild	group1	male	532	2163	9	10	1180.0
female2	wild	group1	female	1405	2156	14	50	180.0
male6	wild	group1	male	468	2227	15	50	465.9
female11	wild	group1	female	516	2212	10	29	492.0
female4	wild	group1	female	4494	2154	11	0	112.9
female8	wild	group1	female	326	2240	11	8	1056.0
male3	wild	group1	male	804	2757	5	35	750.0
male3	wild	group1	male	842	2719	7	5	426.0
male3	wild	group1	male	764	2797	7	31	510.0
male1	wild	group1	male	1503	2727	10	45	480.0
female15	wild	group1	female	3152	2035	10	20	320.0
female9	wild	group1	female	3284	2073	16	30	198.3
female12	wild	group1	female	1646	2007	7	35	144.0
female2	wild	group1	female	1548	2013	10	30	200.0
female6	wild	group1	female	1268	2048	11	0	460.0
male1	wild	group1	male	2155	2075	10	30	84.0
female10	wild	group1	female	1923	2034	10	5	145.7
female15	wild	group1	female	2959	2228	13	30	207.3
male2	wild	group1	male	660	2035	10	30	225.0
male3	wild	group1	male	1548	2013	13	44	133.3
male2	wild	group1	male	634	2061	7	20	236.0
female10	wild	group1	female	1764	2193	11	0	533.3
male4	wild	group1	male	4418	2230	15	55	274.3
female10	wild	group1	female	1883	2074	14	20	145.7
female7	wild	group1	female	631	2230	6	15	248.0
male1	wild	group1	male	2169	2061	10	30	160.0
female3	wild	group1	female	1102	2249	12	33	225.0
female11	wild	group1	female	649	2079	14	0	1110.0
female1	wild	group1	female	1835	2136	9	24	133.3
male4	wild	group1	male	4485	2163	5	20	206.9
female15	wild	group1	female	3064	2123	16	8	180.0
female3	wild	group1	female	1224	2127	15	30	140.0
male2	wild	group1	male	542	2153	7	20	1620.0
male6	wild	group1	male	532	2163	6	22	360.0
female12	wild	group1	female	1518	2135	13	37	298.5
female10	wild	group1	female	1823	2134	10	30	46.7
male5	wild	group1	male	591	2146	5	45	1128.0
male2	wild	group1	male	514	2181	7	30	600.0
female9	wild	group1	female	3182	2175	13	40	152.7
male6	wild	group1	male	527	2168	5	55	600.0
female16	wild	group1	female	136	1929	6	0	600.0
male1	wild	group1	male	2354	1876	6	5	90.0
female17	wild	group1	female	389	1840	17	0	420.0
female17	wild	group1	female	299	1930	5	45	204.0
female18	wild	group2	female	1230	1936	8	50	157.9
female2	wild	group1	female	1691	1870	13	20	102.9
male6	wild	group1	male	752	1943	13	45	229.1
male7	wild	group2	male	649	1906	9	35	444.0
male5	wild	group1	male	907	1830	6	30	150.0
female11	wild	group1	female	858	1870	15	10	306.0
female18	wild	group2	female	1340	1826	7	0	68.6
female2	wild	group1	female	1835	1726	15	0	106.7
female9	wild	group1	female	3480	1877	5	45	109.1
male5	wild	group1	male	1072	1665	12	58	360.0
female16	wild	group1	female	425	1640	12	40	648.0
female10	wild	group1	female	2230	1727	7	45	220.0
female7	wild	group1	female	1112	1749	13	20	85.7
female9	wild	group1	female	3513	1844	9	57	120.0
female8	wild	group1	female	823	1743	14	30	30.0
female10	wild	group1	female	2097	1860	9	25	282.0
female11	wild	group1	female	1037	1691	6	25	12.0
male6	wild	group1	male	1030	1665	16	43	222.9
female12	wild	group1	female	1759	1894	9	20	109.1
female3	wild	group1	female	1505	1846	11	20	352.0
female3	wild	group1	female	1639	1712	13	10	137.1
male6	wild	group1	male	887	1808	16	20	648.0
male8	wild	group1	male	6315	1964	11	30	300.0
female1	wild	group1	female	2222	1749	12	45	62.9
female19	wild	group1	female	12	1683	6	25	760.0
male3	wild	group1	male	1466	2095	10	50	213.3
male4	wild	group1	male	4854	1794	8	47	165.0
male5	wild	group1	male	789	1948	16	45	150.0
female1	wild	group1	female	2127	1844	5	45	120.0
male3	wild	group1	male	1720	1841	15	0	90.0
female11	wild	group1	female	978	1750	16	52	174.5
female16	wild	group1	female	235	1830	11	2	7080.0
female11	wild	group1	female	925	1803	8	39	145.7
male10	wild	group2	male	1647	1884	8	20	73.3
female16	wild	group1	female	158	1907	11	15	1380.0
female15	wild	group1	female	3437	1750	15	2	82.5
female7	wild	group1	female	995	1866	16	8	120.0
female1	wild	group1	female	2042	1929	8	5	58.3
female10	wild	group1	female	2078	1879	6	10	157.9
female7	wild	group1	female	1222	1639	12	50	232.9
female3	wild	group1	female	1432	1919	10	37	131.4
female17	wild	group1	female	479	1750	12	50	450.0
male1	wild	group1	male	2472	1758	13	10	106.2
male1	wild	group1	male	2324	1906	5	59	98.8
female15	wild	group1	female	3198	1989	6	58	111.4
female6	wild	group1	female	1448	1868	9	35	3480.0
female1	wild	group1	female	2566	1405	6	5	2120.0
female17	wild	group1	female	831	1398	8	58	330.0
male6	wild	group1	male	1239	1456	9	57	180.0
male7	wild	group2	male	1175	1380	15	51	165.0
female18	wild	group2	female	1546	1620	8	0	120.0
female20	wild	group2	female	3656	1336	15	21	600.0
male9	wild	group2	male	2224	1307	16	50	130.0
female17	wild	group1	female	849	1380	6	50	60.0
male11	wild	group1	male	9	1403	15	45	384.0
male7	wild	group2	male	1137	1418	6	8	240.0
female21	wild	group2	female	774	1322	7	46	165.0
female12	wild	group1	female	2399	1254	7	44	70.3
male3	wild	group1	male	2136	1425	8	47	150.0
male9	wild	group2	male	2130	1401	6	5	80.0
female8	wild	group1	female	1008	1558	12	3	60.0
male5	wild	group1	male	1485	1252	8	56	162.9
male5	wild	group1	male	1319	1418	17	47	135.0
female3	wild	group1	female	1980	1371	12	38	433.8
male7	wild	group2	male	1017	1538	11	43	210.0
female21	wild	group2	female	867	1229	8	12	5200.0
male1	wild	group1	male	2849	1381	6	57	102.9
female12	wild	group1	female	2277	1376	16	35	15.0
female16	wild	group1	female	570	1495	15	25	7640.0
female4	wild	group1	female	5067	1581	13	50	1563.9
female7	wild	group1	female	1362	1499	9	18	570.8
female10	wild	group1	female	2681	1276	5	29	90.0
female19	wild	group1	female	211	1484	6	48	30.0
female21	wild	group2	female	602	1494	9	2	144.0
female2	wild	group1	female	2055	1506	10	23	249.5
female22	wild	group2	female	535	1494	6	30	4260.0
female10	wild	group1	female	2599	1358	12	15	90.0
male10	wild	group2	male	2260	1271	14	35	270.0
male3	wild	group1	male	2056	1505	9	14	368.3
female23	wild	group2	female	2254	1277	15	55	81.4
female16	wild	group1	female	745	1320	7	37	5220.0
male42	wild	group2	male	1299	1501	9	40	1504.0
male37	wild	group2	male	2857	1404	5	54	93.3
male37	wild	group2	male	2972	1289	14	46	82.5
female18	wild	group2	female	1672	1494	11	16	730.0
female9	wild	group1	female	3988	1369	12	59	1.5
male6	wild	group1	male	1325	1370	8	33	336.0
female10	wild	group1	female	2501	1456	6	35	360.0
female10	wild	group1	female	1883	2074	14	20	288.0
female6	wild	group1	female	1823	1493	16	38	440.0
female21	wild	group2	female	602	1494	8	12	816.0
female6	wild	group1	female	1913	1403	15	25	85.7
female7	wild	group1	female	1598	1263	6	4	116.0
female18	wild	group2	female	1791	1375	8	57	56.0
male38	wild	group2	male	3311	1316	14	30	90.0
female8	wild	group1	female	952	1614	13	50	20.0
female14	wild	group2	female	849	1467	16	57	337.3
female2	wild	group1	female	2161	1400	12	58	60.0
female8	wild	group1	female	1151	1415	7	13	440.0
female8	wild	group1	female	956	1610	10	30	0.8
male9	wild	group2	male	1943	1588	10	55	90.8
male6	wild	group1	male	1142	1553	12	55	480.0
female2	wild	group1	female	1988	1573	10	17	60.0
female6	wild	group1	female	1763	1553	9	6	210.0
male5	wild	group1	male	1167	1570	16	57	480.0
female3	wild	group1	female	1796	1555	14	9	231.4
female17	wild	group1	female	660	1569	6	55	12.0
male41	wild	group1	male	139	1273	14	57	920.0
female23	wild	group2	female	2090	1441	9	22	80.0
female8	wild	group1	female	1319	1247	8	49	130.0
male1	wild	group1	male	2607	1623	7	50	120.0
female12	wild	group1	female	2074	1579	12	0	124.4
female15	wild	group1	female	3565	1622	9	50	289.7
female10	wild	group1	female	2376	1581	10	7	15.0
female22	wild	group2	female	629	1400	6	10	4.0
female23	wild	group2	female	2195	1336	16	55	100.0
female1	wild	group1	female	2390	1581	6	31	336.0
male42	wild	group2	male	1549	1251	12	55	170.7
female1	wild	group1	female	2464	1507	14	50	193.3
female11	wild	group1	female	1469	1259	8	13	77.8
female22	wild	group2	female	416	1613	5	35	6.0
male1	wild	group1	male	2730	1500	5	59	404.2
male10	wild	group2	male	2090	1441	10	56	120.0
female7	wild	group1	female	1477	1384	13	19	12.0
female20	wild	group2	female	3498	1494	9	5	140.0
male9	wild	group2	male	2168	1363	6	42	46.2
male22	wild	group1	male	2856	2136	10	20	141.2
female16	wild	group1	female	858	1207	8	46	864.0
female16	wild	group1	female	906	1159	9	10	330.0
female19	wild	group1	female	517	1178	11	45	696.0
female11	wild	group1	female	1549	1179	8	45	240.0
female22	wild	group2	female	921	1108	14	35	444.0
female18	wild	group2	female	1923	1243	15	31	53.3
male6	wild	group1	male	1630	1065	14	5	156.5
female20	wild	group2	female	3807	1185	13	0	58.4
male1	wild	group1	male	3045	1185	11	3	317.8
female12	wild	group1	female	2462	1191	13	57	68.6
male37	wild	group2	male	3081	1180	12	9	70.6
female2	wild	group1	female	2405	1156	16	52	512.0
female1	wild	group1	female	2841	1130	7	58	148.0
male10	wild	group2	male	2433	1098	17	0	247.7
female14	wild	group2	female	1191	1125	12	20	360.0
female17	wild	group1	female	1015	1214	5	49	330.0
female6	wild	group1	female	2261	1055	12	30	307.8
female19	wild	group1	female	568	1127	6	28	92.3
female18	wild	group2	female	2118	1048	11	35	232.5
male3	wild	group1	male	2377	1184	7	30	133.3
male3	wild	group1	male	2440	1121	11	15	207.3
male37	wild	group2	male	3151	1110	15	15	120.0
female3	wild	group1	female	2302	1049	5	5	195.0
male7	wild	group2	male	1425	1130	7	40	291.4
female12	wild	group1	female	2603	1050	16	20	120.0
female14	wild	group2	female	1246	1070	14	20	17.8
female8	wild	group1	female	1438	1128	15	57	142.5
male6	wild	group1	male	1522	1173	10	58	446.9
male9	wild	group2	male	2434	1097	8	10	226.7
female7	wild	group1	female	1740	1121	10	3	192.0
female17	wild	group1	female	1113	1116	11	50	240.0
female1	wild	group1	female	2764	1207	15	23	103.6
male9	wild	group2	male	2319	1212	9	26	93.3
female1	wild	group1	female	2922	1049	7	15	140.0
female23	wild	group2	female	2422	1109	10	7	240.0
female6	wild	group1	female	2145	1171	7	34	201.6
female3	wild	group1	female	2196	1155	13	5	120.0
female2	wild	group1	female	2334	1227	7	17	116.1
female7	wild	group1	female	1688	1173	12	20	171.4
female10	wild	group1	female	2784	1173	10	59	174.5
female18	wild	group2	female	2057	1109	8	28	173.3
male41	wild	group1	male	180	1232	12	16	492.0
female7	wild	group1	female	1712	1149	8	40	180.0
male5	wild	group1	male	1589	1148	6	43	190.0
Luna	wild	group1	female	6497	1233	8	4	68.6
female14	wild	group2	female	1136	1180	12	7	190.0
female3	wild	group1	female	2145	1206	11	39	120.0
female13	wild	group1	female	1262	4290	10	52	270.0
female13	wild	group1	female	1629	3923	12	10	349.1
female13	wild	group1	female	2147	3405	15	35	102.9
female13	wild	group1	female	2404	3148	5	33	73.8
female13	wild	group1	female	2866	2686	5	11	154.3
female12	wild	group1	female	319	3334	6	1	4664.0
female12	wild	group1	female	659	2994	7	57	348.0
female12	wild	group1	female	982	2671	10	46	377.1
female12	wild	group1	female	1115	2538	17	17	780.0
female12	wild	group1	female	882	2771	6	35	330.0
female8	wild	group1	female	100	2466	15	35	2400.0
female3	wild	group1	female	415	2936	7	4	240.0
female3	wild	group1	female	690	2661	8	40	288.0
female10	wild	group1	female	623	3334	5	56	456.0
